id_compra,dt_compra,cd_produto,qtde_vendida,vl_vendido,nm_cliente,perc_promocao
1196,2024-04-29,1019,6,256.35,Gabriel Ribeiro,0.0
1197,2024-04-17,1006,8,139.13,Fernanda Souza,0.1
1198,2024-06-03,1017,9,23.49,Fernanda Ribeiro,0.0
1199,2024-02-08,1042,15,44.19,Ana Oliveira,0.05
1200,2024-01-18,1001,15,297.16,Helena Ferreira,0.05
1201,2024-03-15,1039,13,176.89,Gabriel Oliveira,0.1
1202,2024-01-01,1017,16,183.97,Fernanda Silva,0.15
1203,2024-04-06,1047,10,11.27,Ana Oliveira,0.1
1204,2024-04-18,1032,17,252.68,Carlos Almeida,0.1
1205,2024-01-13,1033,16,231.51,Helena Pereira,0.0
1206,2024-03-27,1034,19,183.61,Bruno Costa,0.15
1207,2024-05-27,1005,12,254.69,Eduardo Ribeiro,0.2
1208,2024-03-21,1008,6,288.83,Gabriel Costa,0.2
1209,2024-05-24,1003,13,124.78,Juliana Souza,0.1
1210,2024-04-14,1044,17,256.7,Gabriel Souza,0.0
1211,2024-01-24,1031,16,15.44,Igor Silva,0.1
1212,2024-01-28,1031,1,29.76,Daniela Ferreira,0.05
1213,2024-03-24,1047,10,269.95,Bruno Costa,0.05
1214,2024-04-14,1041,1,23.03,Juliana Pereira,0.15
1215,2024-05-18,1038,12,97.4,Bruno Ribeiro,0.15
1216,2024-01-15,1029,18,147.62,Gabriel Martins,0.05
1217,2024-06-19,1000,7,287.81,Igor Ribeiro,0.15
1218,2024-06-01,1035,12,274.33,Juliana Almeida,0.05
1219,2024-03-04,1008,20,178.51,Gabriel Souza,0.0
1220,2024-03-13,1014,13,123.8,Carlos Ribeiro,0.0
1221,2024-01-11,1034,10,84.78,Juliana Almeida,0.1
1222,2024-04-01,1016,18,12.03,Ana Costa,0.15
1223,2024-01-09,1050,18,270.35,Helena Almeida,0.15
1224,2024-02-23,1037,18,212.47,Bruno Almeida,0.2
1225,2024-06-24,1026,7,273.91,Bruno Ribeiro,0.0
1226,2024-05-22,1007,18,204.79,Daniela Silva,0.05
1227,2024-06-14,1006,8,143.83,Gabriel Silva,0.2
1228,2024-05-28,1048,4,68.5,Fernanda Ferreira,0.1
1229,2024-05-06,1011,13,40.89,Juliana Oliveira,0.1
1230,2024-04-19,1014,20,157.27,Bruno Martins,0.0
1231,2024-03-27,1036,16,250.65,Carlos Almeida,0.0
1232,2024-03-11,1015,1,146.65,Daniela Costa,0.0
1233,2024-05-09,1009,16,19.38,Bruno Souza,0.05
1234,2024-02-06,1018,7,160.93,Carlos Silva,0.0
1235,2024-04-18,1037,20,135.71,Gabriel Almeida,0.0
1236,2024-02-05,1021,17,181.16,Ana Pereira,0.2
1237,2024-01-23,1047,14,111.34,Juliana Souza,0.0
1238,2024-05-31,1015,13,99.15,Eduardo Pereira,0.0
1239,2024-03-10,1036,6,210.81,Eduardo Souza,0.0
1240,2024-03-27,1021,17,283.11,Igor Lima,0.0
1241,2024-03-02,1007,2,86.57,Igor Ferreira,0.0
1242,2024-05-12,1002,6,231.26,Juliana Pereira,0.1
1243,2024-05-28,1015,1,115.65,Carlos Lima,0.1
1244,2024-06-08,1033,19,204.55,Ana Ribeiro,0.05
1245,2024-05-03,1041,8,52.02,Daniela Lima,0.2
1246,2024-03-31,1044,10,198.04,Carlos Ribeiro,0.1
1247,2024-02-08,1047,3,89.23,Gabriel Pereira,0.15
1248,2024-06-19,1010,2,63.06,Daniela Ribeiro,0.1
1249,2024-02-25,1041,15,218.26,Helena Ribeiro,0.2
1250,2024-01-06,1044,8,81.74,Daniela Lima,0.2
1251,2024-02-21,1026,16,215.92,Helena Ferreira,0.2
1252,2024-06-24,1016,2,96.35,Daniela Almeida,0.0
1253,2024-01-14,1000,7,243.1,Helena Souza,0.15
1254,2024-03-26,1023,19,103.35,Juliana Souza,0.15
1255,2024-04-13,1031,18,36.07,Eduardo Souza,0.0
1256,2024-04-07,1005,7,164.28,Fernanda Souza,0.1
1257,2024-06-04,1027,10,199.11,Eduardo Almeida,0.1
1258,2024-02-11,1007,6,103.17,Fernanda Almeida,0.15
1259,2024-05-29,1010,11,211.39,Juliana Martins,0.05
1260,2024-02-08,1043,3,151.21,Eduardo Souza,0.2
1261,2024-04-12,1029,12,88.68,Ana Souza,0.05
1262,2024-03-07,1021,11,139.17,Fernanda Costa,0.1
1263,2024-02-14,1015,9,111.13,Ana Ribeiro,0.1
1264,2024-04-10,1009,17,175.08,Bruno Souza,0.15
1265,2024-02-09,1027,3,23.35,Helena Martins,0.05
1266,2024-02-23,1012,5,264.18,Bruno Souza,0.0
1267,2024-06-11,1005,11,99.65,Juliana Oliveira,0.15
1268,2024-04-02,1049,6,141.9,Juliana Almeida,0.2
1269,2024-05-24,1048,13,261.63,Carlos Pereira,0.05
1270,2024-06-17,1044,6,83.72,Juliana Silva,0.0
1271,2024-02-13,1040,4,18.42,Fernanda Almeida,0.0
1272,2024-02-26,1040,6,244.69,Helena Souza,0.15
1273,2024-05-01,1025,17,147.46,Igor Costa,0.1
1274,2024-06-15,1003,11,168.92,Daniela Lima,0.0
1275,2024-03-27,1040,4,166.17,Igor Souza,0.2
1276,2024-01-14,1050,7,266.91,Igor Ribeiro,0.0
1277,2024-01-06,1036,5,223.9,Daniela Almeida,0.0
1278,2024-03-09,1000,17,79.4,Igor Oliveira,0.0
1279,2024-05-08,1032,9,62.55,Juliana Silva,0.15
1280,2024-05-27,1020,18,99.19,Igor Oliveira,0.2
1281,2024-05-20,1021,6,181.72,Eduardo Martins,0.0
1282,2024-02-09,1014,14,292.04,Bruno Lima,0.1
1283,2024-06-06,1019,11,35.76,Fernanda Ferreira,0.05
1284,2024-01-23,1025,17,210.92,Igor Ferreira,0.1
1285,2024-03-17,1039,19,211.44,Daniela Martins,0.0
1286,2024-05-28,1014,3,89.27,Carlos Silva,0.1
1287,2024-02-25,1010,3,104.24,Ana Martins,0.0
1288,2024-06-10,1030,19,214.73,Igor Oliveira,0.2
1289,2024-03-14,1000,20,118.48,Ana Ferreira,0.1
1290,2024-04-27,1013,18,174.08,Gabriel Silva,0.2
1291,2024-03-07,1041,5,116.37,Bruno Ribeiro,0.1
1292,2024-04-13,1018,8,149.64,Juliana Ribeiro,0.2
1293,2024-05-11,1036,13,195.21,Ana Pereira,0.2
1294,2024-01-11,1043,17,277.09,Eduardo Almeida,0.2
1295,2024-05-15,1017,4,104.16,Igor Souza,0.15
1296,2024-02-17,1003,14,110.32,Bruno Martins,0.05
1297,2024-05-18,1001,13,185.3,Igor Souza,0.2
1298,2024-02-09,1049,14,152.83,Daniela Pereira,0.15
1299,2024-06-04,1047,10,211.29,Eduardo Lima,0.1
1300,2024-01-31,1041,16,119.89,Helena Souza,0.2
1301,2024-05-04,1034,2,179.63,Fernanda Martins,0.0
1302,2024-03-24,1022,2,68.79,Ana Ribeiro,0.0
1303,2024-01-01,1040,15,160.97,Igor Pereira,0.05
1304,2024-03-22,1044,6,200.06,Gabriel Pereira,0.2
1305,2024-04-15,1001,15,72.98,Helena Pereira,0.0
1306,2024-02-22,1047,19,258.59,Ana Silva,0.0
1307,2024-03-09,1009,2,223.48,Bruno Lima,0.05
1308,2024-02-12,1001,2,202.3,Daniela Ribeiro,0.0
1309,2024-02-26,1031,15,101.56,Juliana Lima,0.1
1310,2024-04-29,1025,18,187.3,Gabriel Ribeiro,0.15
1311,2024-01-25,1040,16,58.15,Bruno Pereira,0.2
1312,2024-04-17,1048,5,127.17,Helena Costa,0.15
1313,2024-04-25,1023,6,201.64,Daniela Ferreira,0.2
1314,2024-06-02,1028,16,244.17,Fernanda Ribeiro,0.2
1315,2024-06-20,1011,13,110.08,Gabriel Costa,0.1
1316,2024-05-14,1034,3,23.79,Bruno Ribeiro,0.05
1317,2024-04-06,1014,19,29.0,Bruno Almeida,0.0
1318,2024-06-16,1050,12,191.86,Gabriel Ribeiro,0.15
1319,2024-04-03,1006,17,256.7,Eduardo Ribeiro,0.2
1320,2024-06-23,1013,14,12.27,Eduardo Souza,0.05
1321,2024-05-09,1037,11,48.91,Igor Ribeiro,0.15
1322,2024-02-20,1046,20,11.46,Gabriel Martins,0.2
1323,2024-05-12,1006,11,104.24,Helena Silva,0.0
1324,2024-02-12,1034,18,271.19,Juliana Souza,0.05
1325,2024-03-25,1009,12,226.26,Eduardo Silva,0.2
1326,2024-05-17,1034,10,149.56,Helena Ribeiro,0.15
1327,2024-02-14,1023,18,216.11,Carlos Ribeiro,0.0
1328,2024-06-01,1020,16,266.38,Ana Ferreira,0.05
1329,2024-02-19,1031,3,241.24,Daniela Lima,0.0
1330,2024-06-25,1048,6,64.95,Eduardo Almeida,0.1
1331,2024-04-23,1023,12,244.63,Fernanda Costa,0.2
1332,2024-02-04,1029,13,271.63,Igor Martins,0.2
1333,2024-04-02,1006,16,276.09,Eduardo Oliveira,0.1
1334,2024-06-28,1011,3,295.33,Fernanda Lima,0.0
1335,2024-02-15,1043,11,182.03,Gabriel Ferreira,0.2
1336,2024-03-02,1029,17,288.91,Igor Lima,0.05
1337,2024-06-09,1003,1,76.79,Fernanda Costa,0.1
1338,2024-05-24,1027,18,263.62,Bruno Almeida,0.0
1339,2024-04-17,1044,19,184.86,Juliana Pereira,0.15
1340,2024-01-16,1001,2,225.45,Eduardo Martins,0.2
1341,2024-01-15,1007,1,255.41,Helena Souza,0.15
1342,2024-06-13,1031,3,238.74,Juliana Pereira,0.1
1343,2024-04-17,1014,2,180.85,Gabriel Ribeiro,0.15
1344,2024-05-24,1049,6,61.23,Eduardo Almeida,0.2
1345,2024-04-21,1011,1,183.72,Juliana Lima,0.2
1346,2024-05-14,1026,3,24.76,Daniela Ribeiro,0.1
1347,2024-01-15,1029,20,23.63,Gabriel Lima,0.0
1348,2024-04-26,1012,3,27.72,Ana Costa,0.0
1349,2024-02-21,1001,14,297.95,Helena Ribeiro,0.05
1350,2024-02-21,1005,5,266.2,Helena Oliveira,0.15
1351,2024-01-17,1041,1,194.71,Bruno Ribeiro,0.05
1352,2024-02-22,1024,17,171.63,Bruno Ferreira,0.2
1353,2024-04-06,1050,11,229.69,Bruno Lima,0.05
1354,2024-03-17,1029,18,29.15,Juliana Lima,0.05
1355,2024-05-09,1020,16,41.75,Eduardo Souza,0.2
1356,2024-06-09,1048,9,151.92,Gabriel Costa,0.15
1357,2024-03-16,1046,8,206.07,Ana Pereira,0.15
1358,2024-03-07,1036,11,227.29,Eduardo Souza,0.05
1359,2024-03-12,1043,4,198.58,Daniela Oliveira,0.0
1360,2024-03-21,1023,11,35.18,Eduardo Lima,0.2
1361,2024-02-01,1043,2,30.55,Igor Ribeiro,0.15
1362,2024-05-03,1009,19,245.97,Eduardo Oliveira,0.05
1363,2024-06-02,1048,8,261.51,Daniela Almeida,0.1
1364,2024-01-30,1036,18,163.48,Igor Lima,0.1
1365,2024-03-27,1007,5,199.48,Daniela Ribeiro,0.2
1366,2024-06-23,1002,11,104.45,Gabriel Pereira,0.15
1367,2024-05-07,1050,16,214.44,Helena Oliveira,0.05
1368,2024-02-28,1026,19,50.23,Carlos Ribeiro,0.0
1369,2024-02-17,1007,9,238.61,Daniela Martins,0.1
1370,2024-01-12,1031,17,280.87,Igor Oliveira,0.05
1371,2024-04-12,1003,15,183.88,Gabriel Silva,0.15
1372,2024-02-24,1007,3,256.86,Eduardo Silva,0.05
1373,2024-01-19,1032,18,212.55,Gabriel Lima,0.1
1374,2024-04-02,1026,16,69.75,Carlos Martins,0.1
1375,2024-01-29,1026,11,94.29,Fernanda Ferreira,0.05
1376,2024-03-27,1041,4,171.52,Carlos Lima,0.05
1377,2024-03-15,1028,20,89.61,Carlos Ferreira,0.05
1378,2024-02-07,1016,14,29.4,Fernanda Oliveira,0.05
1379,2024-06-14,1010,11,259.66,Juliana Costa,0.15
1380,2024-06-20,1037,10,13.67,Gabriel Martins,0.05
1381,2024-06-03,1042,12,24.02,Helena Costa,0.15
1382,2024-06-26,1015,10,29.13,Helena Ferreira,0.15
1383,2024-01-01,1048,8,96.71,Ana Ferreira,0.2
1384,2024-01-17,1006,20,161.57,Juliana Lima,0.15
1385,2024-02-10,1031,1,252.91,Carlos Lima,0.15
1386,2024-02-17,1050,19,240.55,Helena Ribeiro,0.15
1387,2024-04-20,1029,11,257.8,Ana Costa,0.15
1388,2024-05-26,1007,6,190.28,Gabriel Ferreira,0.15
1389,2024-03-10,1023,5,239.22,Juliana Costa,0.0
1390,2024-03-18,1008,8,11.01,Ana Ferreira,0.2
1391,2024-04-01,1023,6,137.16,Bruno Lima,0.1
1392,2024-03-21,1023,11,298.77,Daniela Martins,0.05
1393,2024-05-19,1024,15,132.46,Helena Ribeiro,0.1
1394,2024-01-03,1004,19,217.47,Igor Almeida,0.05
1395,2024-04-01,1040,15,20.72,Carlos Martins,0.05
1396,2024-03-01,1015,15,174.27,Bruno Ribeiro,0.1
1397,2024-02-18,1049,19,165.78,Igor Martins,0.15
1398,2024-05-23,1006,11,144.02,Bruno Oliveira,0.2
1399,2024-05-26,1006,9,241.33,Ana Costa,0.2
1400,2024-04-24,1046,6,188.16,Eduardo Ferreira,0.0
1401,2024-06-17,1028,16,215.76,Juliana Oliveira,0.0
1402,2024-05-19,1028,17,48.18,Eduardo Lima,0.15
1403,2024-04-20,1008,16,140.23,Igor Silva,0.05
1404,2024-05-07,1037,1,103.03,Ana Lima,0.0
1405,2024-05-13,1007,17,229.1,Carlos Martins,0.1
1406,2024-03-18,1050,13,102.79,Ana Martins,0.15
1407,2024-03-04,1041,2,298.42,Daniela Costa,0.15
1408,2024-04-13,1008,16,105.37,Bruno Ribeiro,0.05
1409,2024-06-06,1019,12,276.18,Juliana Costa,0.1
1410,2024-01-20,1034,13,298.32,Gabriel Silva,0.05
1411,2024-06-08,1033,18,190.92,Daniela Ribeiro,0.15
1412,2024-02-25,1041,14,74.43,Eduardo Lima,0.05
1413,2024-05-27,1013,6,169.69,Bruno Oliveira,0.2
1414,2024-05-19,1040,15,99.81,Daniela Lima,0.1
1415,2024-01-28,1037,1,176.37,Ana Oliveira,0.2
1416,2024-02-24,1044,11,198.48,Igor Martins,0.15
1417,2024-03-10,1011,1,147.54,Helena Pereira,0.2
1418,2024-02-11,1032,6,207.69,Daniela Ferreira,0.0
1419,2024-04-12,1049,5,289.3,Ana Pereira,0.0
1420,2024-05-24,1023,16,187.25,Daniela Oliveira,0.15
1421,2024-06-27,1043,13,254.04,Igor Costa,0.0
1422,2024-05-25,1007,15,269.19,Fernanda Ferreira,0.05
1423,2024-05-01,1015,2,109.57,Juliana Ferreira,0.15
1424,2024-05-11,1031,12,37.95,Carlos Ribeiro,0.15
1425,2024-01-08,1042,12,150.03,Eduardo Oliveira,0.05
1426,2024-03-20,1014,12,70.39,Eduardo Oliveira,0.0
1427,2024-04-12,1042,18,63.29,Gabriel Oliveira,0.2
1428,2024-04-14,1012,3,258.71,Juliana Silva,0.0
1429,2024-02-02,1018,4,163.45,Fernanda Costa,0.1
1430,2024-04-01,1001,7,245.21,Ana Lima,0.2
1431,2024-04-26,1050,17,112.86,Igor Lima,0.05
1432,2024-04-26,1031,16,142.95,Carlos Ribeiro,0.05
1433,2024-03-04,1007,18,20.39,Fernanda Souza,0.1
1434,2024-02-10,1043,8,39.42,Helena Costa,0.1
1435,2024-05-19,1005,18,178.4,Helena Martins,0.2
1436,2024-01-17,1030,18,187.49,Bruno Pereira,0.1
1437,2024-04-26,1036,17,226.28,Igor Souza,0.0
1438,2024-06-29,1012,6,196.76,Helena Almeida,0.0
1439,2024-02-17,1039,7,159.1,Juliana Oliveira,0.05
1440,2024-01-13,1025,2,234.64,Carlos Lima,0.2
1441,2024-06-01,1023,19,15.81,Carlos Costa,0.2
1442,2024-03-15,1049,20,31.41,Fernanda Ferreira,0.0
1443,2024-04-16,1045,2,57.96,Daniela Costa,0.2
1444,2024-03-12,1026,5,211.58,Juliana Almeida,0.05
1445,2024-01-28,1027,14,251.6,Helena Oliveira,0.2
1446,2024-05-23,1050,4,254.67,Helena Martins,0.1
1447,2024-05-15,1007,5,110.88,Fernanda Costa,0.0
1448,2024-05-25,1043,20,288.25,Helena Ferreira,0.15
1449,2024-02-19,1031,10,155.48,Gabriel Martins,0.05
1450,2024-06-11,1021,18,135.14,Ana Costa,0.05
1451,2024-03-02,1049,11,75.74,Eduardo Pereira,0.1
1452,2024-04-24,1028,4,93.8,Ana Silva,0.15
1453,2024-06-28,1044,18,208.03,Eduardo Ribeiro,0.1
1454,2024-05-20,1016,17,200.72,Daniela Martins,0.0
1455,2024-05-20,1010,13,191.81,Bruno Almeida,0.15
1456,2024-03-14,1032,7,260.45,Gabriel Martins,0.1
1457,2024-04-25,1003,7,48.7,Igor Almeida,0.1
1458,2024-02-21,1011,13,160.97,Bruno Ferreira,0.2
1459,2024-04-25,1029,20,115.11,Igor Ferreira,0.2
1460,2024-04-23,1015,8,129.59,Carlos Pereira,0.1
1461,2024-02-11,1000,13,179.88,Eduardo Ferreira,0.1
1462,2024-06-10,1028,6,179.49,Bruno Almeida,0.2
1463,2024-01-19,1020,9,163.15,Juliana Pereira,0.15
1464,2024-04-20,1039,15,210.91,Juliana Lima,0.0
1465,2024-03-18,1012,13,81.56,Juliana Pereira,0.2
1466,2024-01-18,1011,13,243.93,Gabriel Ferreira,0.05
1467,2024-02-06,1043,14,60.26,Eduardo Pereira,0.05
1468,2024-03-24,1040,15,12.11,Igor Ferreira,0.2
1469,2024-04-25,1000,12,299.98,Daniela Martins,0.0
1470,2024-06-29,1050,3,285.8,Juliana Lima,0.05
1471,2024-01-11,1030,19,48.24,Helena Souza,0.0
1472,2024-06-08,1004,8,173.18,Carlos Souza,0.2
1473,2024-04-23,1027,5,155.68,Fernanda Souza,0.05
1474,2024-06-25,1005,18,41.54,Carlos Costa,0.2
1475,2024-05-20,1003,15,50.91,Carlos Lima,0.15
1476,2024-01-12,1041,3,142.54,Gabriel Ferreira,0.05
1477,2024-03-17,1024,5,167.76,Gabriel Pereira,0.1
1478,2024-03-14,1029,16,97.18,Eduardo Oliveira,0.1
1479,2024-01-22,1035,19,133.73,Fernanda Oliveira,0.05
1480,2024-01-10,1044,17,209.37,Helena Souza,0.1
1481,2024-01-26,1050,13,34.88,Juliana Oliveira,0.0
1482,2024-02-12,1030,16,34.32,Eduardo Costa,0.2
1483,2024-01-12,1019,11,170.88,Daniela Martins,0.1
1484,2024-06-04,1003,13,192.94,Igor Ribeiro,0.1
1485,2024-01-03,1037,9,57.37,Gabriel Souza,0.15
1486,2024-06-21,1030,14,68.19,Bruno Martins,0.15
1487,2024-02-08,1023,20,149.08,Ana Oliveira,0.0
1488,2024-04-17,1008,2,159.8,Gabriel Ribeiro,0.15
1489,2024-05-17,1047,17,227.66,Eduardo Oliveira,0.2
1490,2024-05-09,1008,5,29.78,Juliana Martins,0.1
1491,2024-05-03,1044,6,132.89,Helena Lima,0.05
1492,2024-01-08,1014,9,142.89,Bruno Pereira,0.05
1493,2024-03-12,1005,5,178.85,Ana Oliveira,0.1
1494,2024-01-29,1027,15,174.87,Igor Silva,0.05
1495,2024-05-02,1000,19,290.23,Gabriel Lima,0.1
1496,2024-04-07,1032,1,224.68,Daniela Costa,0.0
1497,2024-06-29,1009,16,58.15,Gabriel Martins,0.15
1498,2024-04-04,1041,12,204.89,Igor Costa,0.1
1499,2024-06-28,1003,4,12.04,Igor Pereira,0.15
1500,2024-03-04,1014,16,235.11,Juliana Souza,0.05
1501,2024-02-17,1048,4,99.14,Bruno Oliveira,0.05
1502,2024-03-19,1031,14,231.44,Eduardo Almeida,0.0
1503,2024-01-26,1001,5,149.41,Eduardo Silva,0.1
1504,2024-01-29,1039,11,146.83,Bruno Ferreira,0.15
1505,2024-01-30,1007,13,277.86,Igor Martins,0.05
1506,2024-03-04,1011,9,272.83,Bruno Almeida,0.0
1507,2024-01-17,1012,17,147.84,Igor Martins,0.1
1508,2024-04-30,1014,8,276.94,Helena Souza,0.0
1509,2024-05-06,1005,2,136.89,Daniela Ferreira,0.0
1510,2024-04-10,1010,1,261.72,Bruno Silva,0.05
1511,2024-02-21,1002,11,139.02,Igor Silva,0.15
1512,2024-04-22,1027,10,181.26,Igor Pereira,0.1
1513,2024-06-15,1018,19,143.92,Juliana Almeida,0.0
1514,2024-01-12,1037,7,191.52,Helena Souza,0.15
1515,2024-01-24,1035,1,55.87,Juliana Almeida,0.05
1516,2024-03-12,1020,4,222.97,Fernanda Martins,0.2
1517,2024-01-03,1046,16,253.85,Bruno Silva,0.15
1518,2024-06-23,1049,10,177.13,Igor Oliveira,0.2
1519,2024-01-25,1043,4,267.76,Igor Almeida,0.15
1520,2024-01-30,1049,1,144.33,Igor Almeida,0.15
1521,2024-03-28,1026,13,268.47,Daniela Costa,0.0
1522,2024-01-13,1019,19,136.26,Fernanda Pereira,0.05
1523,2024-02-15,1040,12,74.98,Ana Martins,0.15
1524,2024-02-21,1034,12,286.68,Daniela Ribeiro,0.1
1525,2024-06-16,1020,8,106.82,Bruno Souza,0.1
1526,2024-03-11,1043,11,238.67,Ana Lima,0.05
1527,2024-01-12,1015,10,101.52,Eduardo Silva,0.05
1528,2024-03-26,1024,7,73.84,Igor Martins,0.2
1529,2024-05-19,1013,17,217.2,Bruno Silva,0.1
1530,2024-06-15,1026,3,74.62,Gabriel Martins,0.2
1531,2024-02-29,1009,5,295.95,Eduardo Lima,0.2
1532,2024-02-03,1037,17,26.38,Fernanda Costa,0.2
1533,2024-05-05,1038,5,237.97,Daniela Pereira,0.05
1534,2024-02-28,1044,15,190.33,Fernanda Costa,0.2
1535,2024-03-24,1004,17,208.46,Juliana Almeida,0.1
1536,2024-04-26,1038,16,244.88,Daniela Pereira,0.2
1537,2024-05-24,1037,2,135.55,Bruno Ribeiro,0.2
1538,2024-02-13,1031,12,65.01,Fernanda Ribeiro,0.05
1539,2024-04-27,1018,5,189.34,Juliana Pereira,0.1
1540,2024-06-11,1032,6,69.77,Juliana Costa,0.15
1541,2024-05-10,1001,18,204.24,Igor Ribeiro,0.05
1542,2024-05-20,1040,4,29.04,Igor Costa,0.05
1543,2024-05-22,1030,7,94.88,Carlos Costa,0.2
1544,2024-06-17,1035,17,263.11,Carlos Pereira,0.1
1545,2024-06-07,1046,3,190.6,Juliana Pereira,0.0
1546,2024-03-23,1034,16,296.55,Fernanda Silva,0.1
1547,2024-02-08,1013,1,126.86,Igor Ferreira,0.1
1548,2024-04-15,1015,7,83.14,Igor Oliveira,0.05
1549,2024-04-14,1024,19,119.01,Ana Almeida,0.2
1550,2024-02-25,1032,9,74.0,Eduardo Ferreira,0.15
1551,2024-03-29,1003,11,54.55,Helena Ferreira,0.2
1552,2024-05-01,1007,10,155.58,Bruno Ribeiro,0.1
1553,2024-02-24,1047,16,231.26,Juliana Ferreira,0.15
1554,2024-05-15,1041,11,197.92,Igor Oliveira,0.15
1555,2024-04-01,1024,10,220.86,Carlos Ferreira,0.05
1556,2024-06-26,1010,1,12.39,Gabriel Ferreira,0.1
1557,2024-04-18,1046,9,259.45,Bruno Silva,0.1
1558,2024-01-03,1029,1,169.52,Fernanda Ribeiro,0.05
1559,2024-05-13,1006,14,269.82,Fernanda Oliveira,0.15
1560,2024-02-13,1029,13,226.02,Igor Pereira,0.1
1561,2024-05-11,1009,19,292.13,Ana Ferreira,0.1
1562,2024-05-16,1027,17,47.23,Carlos Silva,0.1
1563,2024-01-31,1017,1,30.51,Gabriel Pereira,0.2
1564,2024-02-11,1047,10,193.49,Igor Ribeiro,0.2
1565,2024-03-19,1003,2,186.9,Carlos Lima,0.2
1566,2024-04-19,1048,16,240.71,Ana Souza,0.1
1567,2024-01-16,1019,11,59.01,Bruno Almeida,0.15
1568,2024-04-17,1005,3,110.43,Daniela Ribeiro,0.2
1569,2024-06-17,1015,8,45.17,Daniela Almeida,0.15
1570,2024-01-06,1049,16,51.16,Daniela Martins,0.2
1571,2024-04-24,1009,14,90.46,Ana Lima,0.2
1572,2024-05-29,1049,5,97.99,Daniela Ribeiro,0.05
1573,2024-02-29,1020,20,255.86,Ana Oliveira,0.2
1574,2024-06-24,1018,16,115.62,Bruno Silva,0.0
1575,2024-06-25,1014,1,252.23,Eduardo Lima,0.2
1576,2024-02-13,1004,7,205.91,Eduardo Martins,0.1
1577,2024-05-16,1002,4,205.04,Fernanda Pereira,0.1
1578,2024-02-24,1038,3,70.03,Juliana Almeida,0.1
1579,2024-02-08,1001,12,23.59,Ana Ribeiro,0.1
1580,2024-05-08,1029,11,232.42,Carlos Almeida,0.0
1581,2024-01-19,1020,10,286.6,Igor Almeida,0.2
1582,2024-03-05,1027,14,134.15,Bruno Silva,0.05
1583,2024-03-18,1046,3,166.42,Igor Oliveira,0.05
1584,2024-02-18,1013,17,258.68,Bruno Pereira,0.2
1585,2024-01-26,1048,6,162.61,Juliana Almeida,0.2
1586,2024-04-20,1046,17,145.2,Ana Lima,0.15
1587,2024-06-14,1047,4,163.73,Igor Silva,0.1
1588,2024-06-02,1022,15,181.38,Ana Ribeiro,0.15
1589,2024-05-21,1028,20,249.54,Juliana Costa,0.0
1590,2024-05-24,1013,16,143.15,Eduardo Martins,0.15
1591,2024-05-14,1045,6,234.08,Bruno Ferreira,0.2
1592,2024-03-06,1027,18,123.39,Igor Lima,0.15
1593,2024-01-18,1015,18,59.43,Juliana Ribeiro,0.2
1594,2024-05-13,1037,3,69.69,Helena Pereira,0.1
1595,2024-01-25,1004,16,64.44,Fernanda Ribeiro,0.1
1596,2024-05-09,1007,12,126.68,Igor Ferreira,0.1
1597,2024-01-15,1004,1,138.57,Juliana Costa,0.1
1598,2024-05-08,1035,16,140.55,Helena Martins,0.15
1599,2024-03-08,1030,20,218.36,Carlos Pereira,0.05
1600,2024-01-16,1001,17,157.23,Fernanda Oliveira,0.2
1601,2024-05-05,1023,16,106.85,Igor Costa,0.15
1602,2024-05-01,1042,7,240.15,Bruno Ferreira,0.0
1603,2024-01-31,1025,17,294.6,Igor Ribeiro,0.2
1604,2024-01-29,1012,12,146.75,Gabriel Martins,0.05
1605,2024-04-19,1050,7,203.19,Carlos Costa,0.15
1606,2024-02-22,1050,7,182.29,Igor Silva,0.1
1607,2024-04-22,1025,14,196.82,Igor Martins,0.2
1608,2024-04-08,1039,10,109.33,Igor Almeida,0.0
1609,2024-05-23,1033,18,79.76,Gabriel Ferreira,0.2
1610,2024-04-16,1046,2,286.56,Igor Silva,0.1
1611,2024-04-12,1008,8,218.38,Eduardo Lima,0.1
1612,2024-06-25,1033,2,153.18,Carlos Souza,0.1
1613,2024-05-28,1042,7,149.96,Bruno Almeida,0.2
1614,2024-06-18,1047,10,280.76,Helena Ribeiro,0.05
1615,2024-03-19,1016,20,119.79,Gabriel Ferreira,0.0
1616,2024-04-03,1020,10,214.68,Gabriel Pereira,0.15
1617,2024-02-07,1003,2,48.98,Ana Souza,0.2
1618,2024-03-05,1035,19,233.6,Fernanda Oliveira,0.2
1619,2024-03-22,1023,1,239.51,Igor Pereira,0.1
1620,2024-03-10,1020,5,190.47,Igor Ferreira,0.2
1621,2024-03-15,1012,6,28.78,Gabriel Oliveira,0.2
1622,2024-01-09,1018,5,286.82,Gabriel Ferreira,0.2
1623,2024-04-08,1039,5,218.53,Bruno Lima,0.0
1624,2024-06-06,1044,11,175.84,Carlos Lima,0.2
1625,2024-01-07,1020,8,248.83,Ana Ribeiro,0.0
1626,2024-02-17,1038,10,167.99,Ana Martins,0.0
1627,2024-04-02,1021,2,132.42,Igor Ferreira,0.2
1628,2024-03-10,1018,4,270.36,Helena Costa,0.0
1629,2024-04-17,1030,15,150.72,Eduardo Souza,0.15
1630,2024-03-07,1019,10,90.4,Igor Costa,0.1
1631,2024-04-02,1001,20,108.78,Ana Souza,0.0
